concelho,month,year,sum
Alcobaça,2,2018,1.8135000000000001
Alcobaça,2,2019,0.113
Alcobaça,2,2020,0.0549
Alcobaça,3,2015,0.044
Alcobaça,3,2016,0.032
Alcobaça,3,2017,0.991
Alcobaça,3,2019,0.372
Alcobaça,3,2021,0.249
Alcobaça,4,2015,0.167
Alcobaça,4,2017,15.6165
Alcobaça,5,2015,0.265
Alcobaça,5,2017,2.33
Alcobaça,5,2018,0.27
Alcobaça,5,2019,1.308
Alcobaça,5,2020,0.002
Alcobaça,5,2021,0.10600000000000001
Alcobaça,6,2015,6.163999999999999
Alcobaça,6,2016,0.1715
Alcobaça,6,2017,4.277999999999998
Alcobaça,6,2019,0.006
Alcobaça,6,2020,0.6362
Alcobaça,6,2021,0.19100000000000003
Alcobaça,7,2015,21.499000000000002
Alcobaça,7,2016,2.407999999999999
Alcobaça,7,2017,2.2485
Alcobaça,7,2018,0.085
Alcobaça,7,2019,0.9307
Alcobaça,7,2020,0.7644
Alcobaça,7,2021,0.157
Alcobaça,8,2015,156.546
Alcobaça,8,2016,15.892
Alcobaça,8,2017,22.191399999999998
Alcobaça,8,2018,0.006
Alcobaça,8,2019,0.7037
Alcobaça,8,2020,1.8626
Alcobaça,8,2021,0.6200000000000001
Alcobaça,9,2015,0.183
Alcobaça,9,2016,0.027000000000000003
Alcobaça,9,2017,5.307
Alcobaça,9,2018,0.9974999999999999
Alcobaça,9,2019,38.236
Alcobaça,9,2021,0.18
Alcobaça,10,2015,5.818
Alcobaça,10,2016,3.166
Alcobaça,10,2017,19843.222659806102
Alcobaça,10,2018,2.069
Alcobaça,10,2019,0.006
Alcobaça,11,2015,0.14500000000000002
Alcobaça,11,2016,0.020999999999999998
Alcobaça,11,2017,0.005
Alcobaça,12,2015,0.3700000000000001
Alcobaça,12,2016,0.004
Alcochete,3,2015,0.025
Alcochete,3,2021,0.1145
Alcochete,4,2019,0.2997
Alcochete,5,2015,0.056
Alcochete,5,2016,0.0971
Alcochete,5,2017,12.3122
Alcochete,5,2018,0.122
Alcochete,5,2019,0.0737
Alcochete,6,2015,2.3495999999999997
Alcochete,6,2016,0.21700000000000003
Alcochete,6,2017,8.5456
Alcochete,6,2018,2.0978700000000003
Alcochete,6,2019,0.9478000000000001
Alcochete,6,2020,0.9303
Alcochete,6,2021,0.0014
Alcochete,7,2015,0.8055
Alcochete,7,2016,0.0671
Alcochete,7,2017,0.1858
Alcochete,7,2018,0.347
Alcochete,7,2019,1.2378
Alcochete,7,2020,1.0021
Alcochete,7,2021,0.053399999999999996
Alcochete,8,2015,0.49
Alcochete,8,2016,0.5117
Alcochete,8,2017,0.1623
Alcochete,8,2018,0.0611
Alcochete,8,2019,0.4397
Alcochete,8,2021,0.3336
Alcochete,9,2015,0.039999999999999994
Alcochete,9,2016,0.0021
Alcochete,9,2017,1.0256
Alcochete,9,2018,0.45230000000000004
Alcochete,10,2015,0.036000000000000004
Alcochete,10,2016,1.8044
Alcochete,10,2017,0.11729999999999999
Alcochete,10,2018,1.3316
Alcochete,10,2019,0.16799999999999998
Alcochete,10,2020,0.01
Alcochete,12,2015,1.3969999999999998
Alcoutim,1,2015,0.0235
Alcoutim,1,2018,0.1581
Alcoutim,1,2019,0.09280000000000001
Alcoutim,1,2020,0.1131
Alcoutim,2,2015,0.8189
Alcoutim,2,2016,0.0252
Alcoutim,2,2018,1.3792
Alcoutim,2,2019,0.0308
Alcoutim,2,2021,0.094
Alcoutim,3,2015,1.4264999999999999
Alcoutim,3,2016,0.0035
Alcoutim,3,2018,0.3689
Alcoutim,3,2019,0.449
Alcoutim,3,2020,0.040100000000000004
Alcoutim,3,2021,0.1173
Alcoutim,4,2016,0.499
Alcoutim,4,2018,0.0255
Alcoutim,4,2019,0.019
Alcoutim,5,2015,8.4617
Alcoutim,5,2016,0.2894
Alcoutim,5,2017,0.0012
